ticket_id,subject,tag,tag_description,created_at,all_tags
10369,Re: Reliable Partner?,sppam,,2025-07-22T16:29:53Z,['sppam']
10364,Re: What’s site efficiency?,sppam,,2025-07-22T10:01:01Z,['sppam']
10363,I need a Paid Post with permanent do follow link at this Site. https://www.aisuitup.com/,sppam,,2025-07-22T09:45:44Z,['sppam']
10361,"Re: ""Well done!""",sppam,,2025-07-22T08:55:44Z,['sppam']
10360,AW: [Ai SuitUp] Your AI Generated Headshots Are Ready!,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-07-22T08:01:44Z,['reupload']
10359,Re: Clothe Need Experts..,sppam,,2025-07-22T07:41:28Z,['sppam']
10358,Project 866915498104,ghost-email,The customer contacts us but no info is avaialble on him her in stripe or dashboard,2025-07-22T07:32:45Z,['ghost-email']
10356,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-22T03:45:53Z,['refund']
10352,No likeness in pictures,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-07-22T00:21:03Z,['reupload']
10350,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-21T17:20:37Z,['regeneration']
10349,Guest Post Websites Available,sppam,,2025-07-21T13:25:33Z,['sppam']
10348,Engage. Grow. Repeat.,sppam,,2025-07-21T12:39:19Z,['sppam']
10347,Redesigning/Redevelopment,sppam,,2025-07-21T12:24:47Z,['sppam']
10346,Trustpilot review growth discussion,sppam,,2025-07-21T12:13:05Z,['sppam']
10343,Boost Your SEO with Quality Guest Post Placements,sppam,,2025-07-21T07:40:43Z,['sppam']
10342,Email typo,wrong-email,,2025-07-21T03:42:44Z,['wrong-email']
10341,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-20T15:40:24Z,['regeneration']
10338,RE: [Ai SuitUp] Your AI Generated Headshots Are Ready! - REFUND REQUEST,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-20T09:38:44Z,['regeneration']
10334,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-19T00:24:04Z,"['edit', 'regeneration']"
10333,Refund,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-18T18:58:51Z,['refund']
10324,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-17T23:37:11Z,['refund']
10320,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-17T15:54:09Z,['regeneration']
10313,Websites Available for Guest Posts?,sppam,,2025-07-17T08:01:04Z,['sppam']
10307,Re: [Ai SuitUp] Your payment has been received,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-07-16T19:39:38Z,['reupload']
10306,Re: Your code expired 😢 Want us to bring it back?,expired,,2025-07-16T19:17:12Z,['expired']
10305,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-16T18:53:07Z,"['edit', 'regeneration']"
10298,Re: Remote Attorney ???,sppam,,2025-07-16T11:43:22Z,['sppam']
10296,RE: Virtual Assistant for any task on your to-do list,sppam,,2025-07-15T20:29:42Z,['sppam']
10295,Guest Post Opportunities – High Authority Sites.,sppam,,2025-07-15T17:17:22Z,['sppam']
10291,For Twitter and LinkedIn collaboration,influencers,Customer wants to sponsor AI SuitUp on their profiles,2025-07-15T09:02:44Z,['influencers']
10290,Re: Collab,sppam,,2025-07-15T08:08:03Z,['sppam']
10288,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-15T01:35:36Z,['regeneration']
10287,Requesting a Refund,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-14T23:22:27Z,['refund']
10285,Re: [Ai SuitUp] Your headshots generation has started,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-07-14T21:47:31Z,['reupload']
10284,New Order - Updated Email,wrong-email,,2025-07-14T21:24:20Z,['wrong-email']
10281,RE: [Ai SuitUp] Your payment has been received,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-14T18:38:29Z,['regeneration']
10279,Fwd: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regen-info,This contains the specific feedback from customer for rigen ,2025-07-14T15:18:16Z,['regen-info']
10273,Refund,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-14T11:56:01Z,['refund']
10272,Re: [Ai SuitUp] Re: Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-14T11:23:44Z,['regeneration']
10266,Re: [Ai SuitUp] Re: Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-07-13T02:09:46Z,['reupload']
10265,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regen-info,This contains the specific feedback from customer for rigen ,2025-07-12T23:58:20Z,['regen-info']
10262,Photos,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-11T22:53:02Z,['regeneration']
10261,order e692233e-e943-40b6-aeb0-a493dfb51ce1,wrong-email,,2025-07-11T22:05:08Z,['wrong-email']
10259,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-11T18:11:31Z,['regeneration']
10258,Receipt from Recent Order,invoice,Customer requests an invoice,2025-07-11T15:53:12Z,['invoice']
10256,Re: Google Analytics tracking,sppam,,2025-07-11T15:43:49Z,['sppam']
10250,Re: SEO Content Writing,sppam,,2025-07-11T10:10:03Z,['sppam']
10249,design,sppam,,2025-07-11T09:11:25Z,['sppam']
10247,Photos ICO Paul Ritter,regen-info,This contains the specific feedback from customer for rigen ,2025-07-11T03:11:38Z,['regen-info']
10246,Recent head shot submission,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-07-11T01:21:24Z,['reupload']
10242,"Ref: Thursday, July~10th 05:52 PM | Follow up",sppam,,2025-07-10T20:50:12Z,['sppam']
10241,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-10T18:06:35Z,['regeneration']
10240,Potential collaboration,sppam,,2025-07-10T17:38:44Z,['sppam']
10239,Collaboration,sppam,,2025-07-10T17:38:43Z,['sppam']
10238,Google Analytics tracking,sppam,,2025-07-10T16:19:36Z,['sppam']
10237,I want to show you amazing guest post opportunities,sppam,,2025-07-10T15:43:57Z,['sppam']
10236,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-10T14:28:22Z,['refund']
10235,Expert Online reputation management,sppam,,2025-07-10T12:10:27Z,['sppam']
10234,Sites will be in higher demand,sppam,,2025-07-10T12:05:17Z,['sppam']
10232,"Re: Meeting | Virtual Assistant ""Full/Part Time -info@aisuitup.com",sppam,,2025-07-10T11:15:39Z,['sppam']
10231,Can we talk!,sppam,,2025-07-10T10:09:26Z,['sppam']
10230,Client,sppam,,2025-07-10T09:53:53Z,['sppam']
10229,Re: Collab,sppam,,2025-07-10T06:40:58Z,['sppam']
10222,RE: [External] [Ai SuitUp] Your payment has been received,invoice,Customer requests an invoice,2025-07-09T14:11:34Z,['invoice']
10212,For Twitter and LinkedIn collaboration,sppam,,2025-07-08T19:31:43Z,['sppam']
10208,1st page Google,sppam,,2025-07-08T16:23:19Z,['sppam']
10207,"Before You Lose Another Client, Read This",sppam,,2025-07-08T15:08:46Z,['sppam']
10206,Machine Learning Software Users,sppam,,2025-07-08T14:25:06Z,['sppam']
10204,Re: Refund Request,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-08T13:45:43Z,['refund']
