refund;Hi, We are sorry to hear that the quality of the pictures does not meet your expectations. To request your refund, please fill out this short form: https://form.typeform.com/to/HtFxtWZ2 Upon receipt of the form, our team will investigate your request and determine your eligibility for a refund. You will receive a response within 1-2 business days. Please refer to our refund policy for any doubt: https://www.aisuitup.com/refund-policy Best, AI SuitUp Team
regeneration;Hi [NAME], We've just initiated a regeneration with the updated adjustments, and your new set should arrive in your inbox within the next hour. We hope you'll love the changes and want to ensure you have the best possible experience. We look forward to hearing your feedback on this latest batch. Best regards, Valerio AI SuitUp Team
sppam;PLEASE STOP contacting us, we are not interested in your service and signal you as spam!
pictures-not-received-spam;"Hi there,
Your AI-generated headshots are ready — you can access them directly using the link below:
__ [CODE]

Sometimes the email with your results might land in your spam or promotions folder, so feel free to check there as well. But no worries — this link will take you straight to your gallery.

We hope you love the results! If you have any questions or run into any issues, just reach out — we’re always happy to help and want to make sure you have the best possible experience.

Warm regards,
Valerio
AI SuitUp"
invoice;"Hi [NAME],
Your receipt should have arrived in your inbox right now, feel free to reach out if you need anything else!
If you’re happy with your AI headshots and the customer support, we’d truly appreciate a quick 5-star review. It helps us grow and lets others know about AI SuitUp.
It only takes a minute:
__ https://tinyurl.com/AISuitUp
Thanks so much for your support, it really means the world to us!
Best,
Valerio
AI Suitup"
reupload;"Hi [NAME],

No worries — you can easily start a new generation here:
__ [CODE]

To get the best results, make sure to follow our photo upload guidelines when selecting your pictures, you can read more about them here: https://www.aisuitup.com/guidelines

To ensure the best results we recommend:
• Upload 3 pictures on a white background: one smiling, one looking professional and one with a slight head tilt
• Upload 3 pictures standing in front of a window: one smiling, one looking professional and one with a slight head tilt
• Upload 3 pictures standing in front of an outside background: one smiling, one looking professional and one with a slight head tilt

Thanks again for giving us the opportunity to deliver a better experience — we’re excited to see your new results!

Warm regards,
Valerio
AI SuitUp"
influencers;"Hi [NAME],
Our collaboration model is designed to be simple and performance-based. We offer a 25% affiliate commission through our referral program, which you can learn more about here: https://www.aisuitup.com/earn-with-us.
This acts as a starting point, if we see promising traction—typically 20+ conversions—we’re happy to explore extended partnerships with additional incentives and custom campaign opportunities.
Let me know if this sounds interesting, and we’d be glad to get you set up.
Best regards,
Valerio
AI SuitUp"
team-info;"Hi,

our AI SuitUp Teams solution is designed to help organizations create professional, studio-quality headshots for their entire team effortlessly. With Teams, you can:

_ Generate consistent, branded headshots that align with your company’s image.
_ Upload photos in bulk and manage everything from a central dashboard.
_ Offer each team member a smooth experience with guided photo tips and easy access.
_ Save time and resources compared to traditional photo shoots.

It’s ideal for updating websites, LinkedIn profiles, and marketing materials quickly and professionally.

You can read more at: https://www.aisuitup.com/teams

If you’d like, I can share more details or help you get set up with a demo to explore how it could work for your team.

Just let me know!"
feedback;Thanks for the feedback
ghost-email;"Hi [name],
We’ve checked our system, and there doesn’t appear to be any generation or payment associated with the email you provided. Could you kindly double-check for any typos in the email address? Alternatively, if you have the order ID or a copy of the payment receipt, please share it with us. We’ll do our best to resolve this as smoothly as possible.
Best regards,
Valerio
AI SuitUp"
linkedin;"Hi [NOME],
Thank you so much for your support—we truly appreciate you sharing your AI SuitUp photo on LinkedIn!
As promised, here’s your free headshot generation link:
__ [COUPON]
Feel free to use it for yourself, or gift it to a friend, colleague, or loved one who might enjoy a professional AI headshot. It’s our way of saying thanks and helping more people put their best face forward online.
If you enjoyed your experience with AI SuitUp, we’d be incredibly grateful if you could leave us a quick 5-star review. Your feedback helps others feel confident in choosing us too!
It only takes a minute:
_ https://www.trustpilot.com/evaluate/aisuitup.com
Thanks again—your support truly means the world to us. And of course, if there’s anything you need, I’m just a message away.
Warm regards,
Valerio
AI SuitUp"
miscellaneous;human intervention required
