Title,Description,Notion Page,Message,Mechanics
https://aisuitupsupport.zendesk.com/agent/search/1?type=ticket&q=tags%3Afeedback,Customer wants to provide feedback,,,
refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,"Refund Form  (https://www.notion.so/Refund-Form-1ad11060e82080d8ac62d1b8a5ef53a2?pvs=21) ","Hi,
We are sorry to hear that the quality of the pictures does not meet your expectations.
To request your refund, please fill out this short form: https://form.typeform.com/to/HtFxtWZ2

Upon receipt of the form, our team will investigate your request and determine your eligibility for a refund. You will receive a response within 1-2 business days.

Please refer to our refund policy for any doubt: https://www.aisuitup.com/refund-policy

Best,
AI SuitUp Team",
refund-form (OPERATIONS),"When a person opens a refund link it will be tagged as refund form ","Refund Issued + Review Ask (Google)  (https://www.notion.so/Refund-Issued-Review-Ask-Google-1bb11060e82080dcb90bd099522c57d3?pvs=21) ","We’re sorry to hear that your generation didn’t turn out as expected. As part of our 100% Money-Back Guarantee, we have processed a full refund for your recent purchase. You can expect the funds to be credited to your original payment method within 5-10 business days.
If there’s anything else we can do for you, please don’t hesitate to reach out.
Best regards,
The AI SuitUp Team",15pics -people who ask refund because they can’t upload 15 pictures
https://aisuitupsupport.zendesk.com/agent/search/1?type=ticket&q=tags%3Aregeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.","Dashboard re-generation  (https://www.notion.so/Dashboard-re-generation-1dc11060e82080a3944dda3295853794?pvs=21) ","Hi [NAME],
We've just initiated a regeneration with the updated adjustments, and your new set should arrive in your inbox within the next hour. We hope you'll love the changes and want to ensure you have the best possible experience.
We look forward to hearing your feedback on this latest batch.
Best regards,
Valerio
AI SuitUp Team","-LOOP TAG- 
when the loop tag is added means we are checking how extra works. going in the dashboard you will find the custom regen. 

THIS IS TO TEST NEW THINGS - INFO IN THE INTERNAL NOTE"
"regen-info ","This contains the specific feedback from customer for rigen ",,"Hi [First Name],
Thank you for letting us know that your first headshot set wasn’t quite what you had in mind. We’re eager to make things right! To guide our next custom generation, could you tell us exactly what you’d like tweaked?
Please include only the aspects you’d like refined:

• Body type:
(e.g., slim, athletic, curvy)
• Hair style & length:
(e.g., shoulder‑length waves, pixie cut, close‑cropped fade)
• Hair color:
(e.g. blonde, brunette, etc.) 
• Other:
(e.g. any other characteristics you would like to refine) 

Feel free to leave a line blank if you’re happy with that element. 
Thanks for taking the time to share these details. Once we receive your notes, we’ll generate a new set tailored to your vision.

Warm regards,
Valerio
AI SuitUp",
spam,"Customer generation is stuck, pictures have not been received after X hours. caused by customer not checking their spam folder","NOTE-CANT DO THIS CLASSIFICATION WITHOUT ACCESS TO DASHBOARD ","Hi there,
Your AI-generated headshots are ready — you can access them directly using the link below:
👉 [CODE]

Sometimes the email with your results might land in your spam or promotions folder, so feel free to check there as well. But no worries — this link will take you straight to your gallery.

We hope you love the results! If you have any questions or run into any issues, just reach out — we’re always happy to help and want to make sure you have the best possible experience.

Warm regards,
Valerio
AI SuitUp",
wrong-email,,,"Hi there,
Your AI-generated headshots are ready — you can access them directly using the link below:
👉 [CODE]

We hope you love the results! If you have any questions or run into any issues, just reach out — we’re always happy to help and want to make sure you have the best possible experience.

Warm regards,
Valerio
AI SuitUp",
reupload,Customer asks for the possibility to reupload different pictures to get better results,,"Hi [NAME],

No worries — you can easily start a new generation here:
👉 [CODE]

To get the best results, make sure to follow our photo upload guidelines when selecting your pictures, you can read more about them here: https://www.aisuitup.com/guidelines

To ensure the best results we recommend:
• Upload 3 pictures on a white background: one smiling, one looking professional and one with a slight head tilt
• Upload 3 pictures standing in front of a window: one smiling, one looking professional and one with a slight head tilt
• Upload 3 pictures standing in front of an outside background: one smiling, one looking professional and one with a slight head tilt

Thanks again for giving us the opportunity to deliver a better experience — we’re excited to see your new results!

Warm regards,
Valerio
AI SuitUp
",
ghost-email,The customer contacts us but no info is avaialble on him her in stripe or dashboard,,"Hi [name],
We’ve checked our system, and there doesn’t appear to be any generation or payment associated with the email you provided. Could you kindly double-check for any typos in the email address? Alternatively, if you have the order ID or a copy of the payment receipt, please share it with us. We’ll do our best to resolve this as smoothly as possible.
Best regards,
Valerio
AI SuitUp",
https://aisuitupsupport.zendesk.com/agent/search/1?type=ticket&q=tags%3Ainvoice,Customer requests an invoice,"Receipt  (https://www.notion.so/Receipt-1b611060e8208053898addf7408c7da0?pvs=21) ","Hi [NAME],
Your receipt should have arrived in your inbox right now, feel free to reach out if you need anything else!
If you’re happy with your AI headshots and the customer support, we’d truly appreciate a quick 5-star review. It helps us grow and lets others know about AI SuitUp.
It only takes a minute:
👉 https://tinyurl.com/AISuitUp
Thanks so much for your support, it really means the world to us!
Best,
Valerio
AI Suitup",
